node,degree centrality
"Tsinghua University, TNList / RIIT, Beijing, China",11
"Tsinghua University, Department of Computer Science and Technology, Beijing, China",36
"Shanghai Jiao Tong University, Department of Electronic Engineering, China",21
"Monash University, Melbourne, Australia",12
"Tongji University, Department of Information and Communications, Shanghai, China",20
University of Alberta,1
"University of Technology Sydney, School of Electrical and Data Engineering, Australia",6
"Tsinghua University, Tsinghua-Berkeley Shenzhen Institute, Shenzhen, China",13
"University of New South Wales, Sydney, NSW, Australia",37
"Tsinghua University, Department of Automation, Beijing, China",23
"University of New South Wales, School of Electrical Engineering and Telecommunications, Sydney, Australia",3
"Southwest Jiaotong University, Institute of Mobile Communications, Chengdu, China",2
"Missouri University of Science and Technology, Rolla, MO, USA",3
PARC Xerox,1
"University of Murcia, Spain",8
"Polytechnic University of Milan, Italy",5
"University of Southampton, School of Electronics and Computer Science, UK",6
"University of California, Berkeley, USA",18
"Swiss Federal Institute of Technology in Lausanne, Switzerland",19
"ETH Zurich, Switzerland",9
"University of California, Santa Barbara, CA, USA",26
"Eindhoven University of Technology, Netherlands",6
"University of Florence, Italy",3
"IMAG, Grenoble, France",3
"École Polytechnique Fédérale de Lausanne (EPFL), Switzerland",1
"Politécnico di Torino, Italy",1
"Universidade do Porto, Portugal",1
"Columbia University, New York City, USA",9
"National University of Singapore, Department of Computer Science",2
"EPFL, Lausanne, Switzerland",5
"MIT, Cambridge, USA",8
"University of California, Santa Barbara, USA",11
"Federal University of Minas Gerais, Belo Horizonte, Brazil",2
"Boston University, USA",6
"University of Modena and Reggio Emilia, Italy",1
"Drexel University, Philadelphia, PA, USA",1
IBM Research,13
University of Otago,1
"Polytechnic University of Valencia, Spain",13
"University of California, Irvine, Department of Computer Science, CA, USA",3
"Carnegie Mellon University, Pittsburgh, USA",27
"Politecnico di Milano, CNR-IEIIT, Milan, Italy",1
"ETH Zurich, Computer Vision Lab, Switzerland",2
"ETH Zurich, Computer Vision Lab",3
"University of California San Diego, La Jolla, CA, USA",2
"University of Cambridge, UK",16
"University of Illinois, Urbana-Champaign, IL, USA",2
"Czech Technical University, Prague, Czech Republic",1
"Karlsruhe Institute of Technology, Germany",8
"Brown University, Providence, USA",2
ETH Zürich,2
"Penn State, University Park, USA",15
"Ecole Polytechnique Federale de Laussanne, Switzerland",1
"Technische Universität Kaiserslautern, Germany",1
Indian Institute of Technology Madras,1
"Philips Research Laboratories, Eindhoven, The Netherlands",1
"ETH Zurich, Computer Engineering and Networks Laboratory",1
"University of Maryland, College Park, MD, USA",12
"Florida International University, School of Computing and Information Sciences, Miami, FL, USA",8
"Pennsylvania State University, USA",1
"École Polytechnique de Montréal, Quebec, Canada",1
"Universitat Politècnica de València, Spain",3
"Purdue University, West Lafayette, USA",18
Technical University of Denmark,1
"University of Padova, Italy",2
"Graz University of Technology, Austria",1
"University of Southern Brittany, France",1
"Dortmund University of Technology, Germany",1
"ETH Zürich, Switzerland",4
"Universidad Complutense de Madrid, Spain",1
"University of Paderborn, Cooperative Computing & Communication Laboratory (C-LAB)",1
"University of Lugano, Switzerland",2
"Harvard Medical School, Cambridge, MA, USA",1
"Polytechnic University of Milan, Department of Electronics, Italy",1
"University of Amsterdam, Netherlands",4
"Jülich Supercomputing Centre, Germany",1
"University College Cork, Ireland",3
"Unitec Institute of Technology, High Tech Transdisciplinary Research Network, Auckland, New Zealand",3
"University of Otago, Dunedin, New Zealand",6
"IMEC, Belgium",1
"Texas Instruments Bangalore, India",2
"Politecnico di Torino, Italy",2
"Sharif University of Technology, Department of Computer Engineering, Tehran, Iran",2
"ETH Zurich / University of Zurich, Department of Neuroinformatics, Switzerland",1
"HTWG Konstanz, Germany",1
"University of Udine, Italy",1
"Indian Institute of Technology, Kanpur, India",2
"Leiden University, LIACS, The Netherlands",1
"University of Genoa, Italy",3
"University of Cyprus, Nicosia, Cyprus",3
"San Diego Supercomputer Center, USA",2
"École Polytechnique Fédérale de Lausanne, Switzerland",1
"CEA-LETI, Grenoble, France",1
University of Kaiserslautern,1
"ETH Zurich, Zürich, Switzerland",1
"Newcastle University, Newcastle Upon Tyne, UK",1
"Georgia Institute of Technology, Atlanta, USA",25
"South University of Science and Technology, Shenzhen, Guangdong, China",1
"University of Salamanca, Spain",2
"Stony Brook University, NY, USA",8
"The University of Birmingham, UK",3
"McMaster University, Hamilton, Canada",8
"Hang Seng Management College, Department of Computing, Hong Kong",5
"Banaras Hindu University, Varanasi, India",1
"University of Ottawa, Ontario, Canada",14
"University of Ottawa, School of Electrical Engineering and Computer Science, ON, Canada",1
"Ohio State University, Columbus, OH, USA",20
"Ottawa University, SITE, Canada",1
Federal University of Minas Gerais,1
"University of Central Florida, Orlando, USA",2
"ENS Lyon, France",2
"Trinity College Dublin, Ireland",3
"Loughborough University, UK",24
"George Washington University, Washington, D.C., USA",8
"Missouri University of Science and Technology, Department of Computer Science, Rolla, MO, USA",13
"University of Nevada Las Vegas, USA",2
"Johannes Kepler University of Linz, Austria",2
"Federal University of Alagoas, Maceió, AL, Brazil",1
"Brock University, Canada",2
"University of Vienna, Austria",4
"University of New South Wales, Sydney, Australia",11
"Thapar Institute of Engineering and Technology, Computer Science and Engineering Department, Patiala, India",5
"Memorial University of Newfoundland, Department of Electrical and Computer Engineering, St. John's, NL, Canada",11
"Muroran Institute of Technology, Department of Information and Electronic Engineering, Japan",9
Huawei Technologies Canada,13
"University of Electro-Communications, Tokyo, Japan",19
"State University of New York at Binghamton, NY, USA",6
"Federal University of Minas Gerais, Belo Horizonte, MG, Brazil",5
"Federal University of Minas Gerais, Belo Horizonte, Brasil",1
"Federal University of Minas Gerais, Computer Science Department (DCC)",1
"Instituto Federal de São Paulo, Brasil",1
"Federal University of Santa Catarina, Brazil",2
"TU Darmstadt, Germany",2
"University of Patras, Greece",4
"Old Dominion University, Norfolk, Virginia, USA",5
"University of Brasília (UnB), Brazil",1
"University of Patras, Computer Engineering and Informatics Department, Greece",1
"Yarmouk University, Department of Computer Information Systems, Irbid, Jordan",1
"Southern University of Science and Technology (SUSTech), Department Computer Science and Engineering, Shenzhen, China",2
"McGill University, Montreal, Canada",5
"Télécom Paris, France",1
"Beijing Institute of Technology, Intelligent Robotics Institute, China",16
SenseTime Group Limited,9
"University of Arizona, Tucson, USA",10
"University of Ottawa, School of Information Technology and Engineering, Canada",20
"University of Ottawa, PARADISE Research Laboratory, ON, Canada",1
"University of Oxford, Department of Engineering Science, UK",13
"Fudan University, School of Computer Science, Shanghai Key Laboratory of Data Science, China",13
"Macau University of Science and Technology, Macau SAR",13
"Polk State College, Department of Mathematics, Winter Haven, FL, USA",7
"University of A Coruña, Spain",1
"Peking University, State Key Laboratory of Advanced Optical Communication Systems and Networks, Beijing, China",4
"University of South Carolina, Department of Electrical Engineering, Columbia, SC, USA",1
"Technical University of Valencia, Spain",3
"Metro de Madrid (MDM), Madrid, Spain",1
"FU Berlin, Institute of Computer Science",4
"Ohio State University, Columbus, USA",3
"University of Oklahoma, Norman, USA",10
"University of Mannheim, Germany",2
University of Iceland,2
"University of Luxembourg, Luxembourg",2
"Zhejiang University, College of Computer Science and Technology, Hangzhou, China",41
"University of Salerno, Department of Computer Science",4
"Qingdao University, Institute of Complexity Science, China",5
"Xidian University, National Lab of Radar Signal Processing, Xi'an, China",12
"Shanghai Jiao Tong University, China",24
"University of Pittsburgh, Pennsylvania, USA",7
"Nanjing University, State Key Laboratory for Novel Software Technology, China",31
"University of Southampton, Electronics and Computer Science, UK",12
"Télécom SudParis, Institut Mines-Télécom, Évry, France",9
"Clemson University, SC, USA",7
"Illinois Institute of Technology, Department of Electrical and Computer Engineering Technology, Chicago, IL, USA",4
City University of Hong Kong,34
Microsoft,5
"University of Tennessee, Knoxville, TN, USA",18
"University of Toronto, Canada",14
"Tencent Medical AI Lab, Palo Alto, CA, USA",7
"Tsinghua University, Department of Electronic Engineering, TNList, Beijing, China",16
"University of Pisa, Computer Science Department",1
IBM,11
"Chongqing University of Posts and Telecommunications, School of Communication and Information Engineering, China",11
"Peking University, School of EECS, Key Laboratory of High-Confidence Software Technologies (MOE), Beijing, China",1
"IBM Thomas J. Watson Research, Computational Genomics Group, Yorktown Heights, NY, USA",4
"Lehigh University, Bethlehem, PA, USA",7
"University of Texas at Dallas, Department of Computer Science, Richardson, TX, USA",12
"University of Hong Kong, Pokfulam, China",2
"Virginia Tech, Blacksburg, Virginia, USA",20
"Northeastern University, College of Information Science and Engineering, Shenyang, China",12
"Nanjing University, Department of Computer Science and Technology, China",2
"University of Queensland, Brisbane, Australia",14
"INRIA, France",6
"Technical University of Berlin, Department of Mathematics, Germany",4
"Rice University, Department of Computer Science, Houston, TX, USA",2
"University of Hong Kong, Department of Computer Science, Hong Kong",6
"Renmin University of China, China",2
"Hong Kong Polytechnic University, Department of Building and Real Estate, Hong Kong",5
"Xidian University, School of Electronic Engineering, Xi'an, China",24
"University of Tsukuba, Tsukuba Science City, Ibaraki, Japan",10
"China Jiliang University, Hangzhou, College of Mechanical and Electrical Engineering",23
"University of Science and Technology of China, Hefei, Anhui, China",2
"State University of New York at New Paltz, Department of Computer Science, NY, USA",11
FutureWei Technologies,13
"East China Normal University, Shanghai, China",11
"Nanjing University of Posts and Telecommunications, School of Computer Science, China",16
"University of Science and Technology of China, School of Computer Science and Technology, Hefei, China",25
"University of Florida, Scalable Software Systems Laboratory, Gainesville, FL, USA",8
"Wuhan University, State Key Laboratory of Software Engineeering, China",2
"ESSEC Business School, Asia-Pacific Campus, Singapore",25
"Huaqiao University, Fengze, China",1
"Tsinghua University, School of Software / TNLIST, Beijing, China",5
"University of Missouri-Kansas City, School of Computing and Engineering, MO, USA",4
Cadence Design Systems,6
"Kent State University, OH, USA",2
"Northwestern Polytechnical University, School of Automation, Xi'an, China",6
